Source,Target,Weight
32,223,1
32,301,1
32,24,1
32,137,1
32,155,1
36,253,1
36,14,1
36,36,1
36,92,1
36,116,1
36,128,1
36,137,1
36,140,1
36,158,1
36,200,1
36,227,1
36,290,1
36,306,1
219,57,1
219,86,1
90,41,1
90,72,1
90,168,1
90,173,1
90,223,1
90,232,1
90,252,1
90,264,1
90,286,1
90,90,1
90,161,1
90,200,1
90,201,1
90,210,1
90,222,1
90,234,1
90,235,1
90,258,1
90,287,1
90,290,1
155,131,1
155,142,1
155,162,1
155,205,1
155,223,1
155,253,1
155,254,1
155,24,1
155,32,1
155,42,1
155,61,1
155,92,1
155,116,1
155,200,1
190,25,1
190,34,1
190,41,1
190,43,1
190,62,1
190,64,1
190,65,1
190,94,1
190,131,1
190,142,1
190,159,1
190,162,1
190,169,1
190,179,1
190,190,1
190,204,1
190,205,1
190,212,1
190,223,1
190,224,1
190,226,1
190,228,1
190,232,1
190,238,1
190,239,1
190,252,1
190,253,1
190,254,1
190,268,1
190,274,1
190,279,1
190,286,1
190,291,1
190,292,1
190,299,1
190,302,1
190,304,1
190,307,1
190,309,1
190,61,1
190,91,1
190,117,1
190,128,1
190,149,1
190,158,1
190,200,1
190,290,1
190,306,1
25,1,1
25,25,1
25,65,1
25,94,1
25,169,1
25,170,1
25,179,1
25,190,1
25,204,1
25,226,1
25,228,1
25,232,1
25,252,1
25,253,1
25,254,1
25,268,1
25,274,1
25,276,1
25,286,1
25,302,1
25,304,1
25,3,1
25,61,1
25,71,1
25,161,1
25,200,1
25,222,1
25,280,1
28,41,1
28,224,1
28,226,1
28,232,1
28,268,1
28,140,1
28,249,1
12,65,1
12,264,1
12,272,1
12,302,1
12,308,1
12,132,1
12,149,1
12,161,1
72,1,1
72,44,1
72,65,1
72,72,1
72,168,1
72,204,1
72,272,1
72,301,1
72,302,1
72,258,1
43,1,1
43,46,1
43,190,1
43,268,1
43,286,1
43,309,1
132,65,1
132,212,1
132,264,1
132,286,1
132,12,1
132,222,1
61,1,1
61,25,1
61,65,1
61,94,1
61,131,1
61,162,1
61,169,1
61,173,1
61,179,1
61,190,1
61,204,1
61,205,1
61,223,1
61,226,1
61,253,1
61,254,1
61,268,1
61,274,1
61,302,1
61,308,1
61,3,1
61,14,1
61,24,1
61,36,1
61,42,1
61,61,1
61,71,1
61,116,1
61,134,1
61,136,1
61,155,1
61,200,1
61,217,1
61,227,1
61,295,1
205,25,1
205,40,1
205,43,1
205,131,1
205,169,1
205,173,1
205,179,1
205,212,1
205,223,1
205,239,1
205,274,1
205,277,1
205,291,1
205,292,1
205,307,1
205,24,1
205,61,1
205,112,1
205,149,1
205,155,1
205,200,1
205,221,1
65,1,1
65,25,1
65,29,1
65,41,1
65,44,1
65,46,1
65,131,1
65,179,1
65,190,1
65,212,1
65,226,1
65,228,1
65,232,1
65,252,1
65,264,1
65,268,1
65,274,1
65,276,1
65,283,1
65,286,1
65,291,1
65,304,1
65,309,1
65,12,1
65,132,1
65,200,1
65,229,1
65,234,1
65,257,1
65,306,1
40,226,1
117,190,1
117,117,1
112,238,1
112,112,1
86,1,1
86,309,1
86,86,1
136,101,1
136,173,1
136,136,1
136,200,1
87,87,1
87,189,1
87,194,1
14,1,1
14,25,1
14,26,1
14,34,1
14,39,1
14,72,1
14,94,1
14,162,1
14,268,1
14,307,1
14,308,1
14,309,1
14,24,1
14,36,1
14,42,1
14,61,1
14,86,1
14,92,1
14,116,1
14,134,1
14,155,1
14,200,1
14,227,1
14,306,1
92,173,1
92,223,1
92,253,1
92,307,1
92,309,1
213,279,1
181,150,1
181,159,1
209,40,1
209,46,1
209,146,1
209,150,1
209,226,1
209,238,1
209,252,1
209,253,1
209,286,1
209,307,1
195,195,1
195,263,1
195,268,1
195,269,1
195,304,1
200,1,1
200,25,1
200,26,1
200,40,1
200,41,1
200,43,1
200,44,1
200,65,1
200,72,1
200,101,1
200,131,1
200,162,1
200,168,1
200,169,1
200,173,1
200,179,1
200,190,1
200,204,1
200,205,1
200,212,1
200,223,1
200,253,1
200,274,1
200,279,1
200,286,1
200,289,1
200,292,1
200,302,1
200,308,1
200,14,1
200,24,1
200,32,1
200,36,1
200,38,1
200,42,1
200,57,1
200,61,1
200,71,1
200,86,1
200,90,1
200,92,1
200,116,1
200,134,1
200,136,1
200,140,1
200,155,1
200,192,1
200,200,1
200,217,1
